N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
152;KFC 124 PLAZA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Paola Mija
153;KFC 125 CC PLAZA VEA LURIN;LIMA;LURIN;RESTAURANTE\RESTAURANTE;Carretera; ANTIGUA PANAMERICANA;Yeisll Diaz
154;KFC 126 VILLA MARÍA DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;RESTAURANTE\RESTAURANTE;Avenida;VILLA MARÍA DEL TRIUNFO;Yeisll Diaz
155;KFC 127 PUENTE PIEDRA;LIMA;PUENTE PIEDRA;RESTAURANTE\RESTAURANTE;Avenida;AV. PUENTE PIEDRA , PUENTE PIEDRA 15118;Paola Mija
156;KFC 128 LAP;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT AEROPUERTO INT. JORGE CHAVEZ;Mariaelena Quiroz
157;KFC 130 MALL DEL SUR 2;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA;Yeisll Diaz
158;KFC 131 REAL PLAZA AREQUIPA ;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;EJERCITO;Sheyda Florindez
159;KFC 132 VILLA EL SALVADOR;LIMA;VILLA EL SALVADOR;RESTAURANTE\RESTAURANTE;Avenida;SOLIDARIDAD ;Yeisll Diaz
160;KFC 133 GUILLERMO DE LA FUENTE ;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;UNIVERSITARIA ;Paola Mija
161;KFC 134 MEGAPLAZA CAÑETE;CAÑETE;SAN VICENTE DE CAÑETE;RESTAURANTE\RESTAURANTE;Avenida;MARGARITA, SAN VICENTE DE CAÑETE MEGA PLAZA ;Sheyda Florindez
162;KFC 136 CANTA CALLAO;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;CANTA CALLAO;Mariaelena Quiroz
163;KFC 137 CHINCHA ;CHINCHA;CHINCHA ALTA;RESTAURANTE\RESTAURANTE;Sin tipo;C.C. MEGAPLAZA CHINCHA;Sheyda Florindez
164;KFC 138 PLAZA LIMA NORTE 3;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA(C.C. PLAZA LIMA NORTE, LOCAL CA-2);Paola Mija
165;KFC 139 AVENTURA SANTA ANITA 2;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;Yeisll Diaz
166;KFC 140 ESTACION SAN MARTIN ;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTIN CON AV. WIESSE;Yeisll Diaz
167;KFC 141 PSM - PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;LA MARINA ;Mariaelena Quiroz
168;KFC 142 BARRANCA;BARRANCA;BARRANCA;RESTAURANTE\RESTAURANTE;Jiron;RAMON ZAVALA ;Sheyda Florindez
169;KFC 143 PEDRO DE OSMA;LIMA;BARRANCO;RESTAURANTE\RESTAURANTE;Avenida;PEDRO DE OSMA;Katherine Gutierrez
170;KFC 144 JARDINES;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
