N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
278;SBUX 71 REAL PLAZA CUZCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;COLLASUYO;Sheyda Florindez
279;SBUX 72 STRIP MALL 28 DE JULIO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;28 DE JULIO;Gabriela Varias
280;SBUX 73 REAL PLAZA SALAVERRY;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;RESIDENCIAL SALAVERRY;Gabriela Varias
281;SBUX 74 LOPEZ DE AYALA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;SAN LUIS ;Gabriela Varias
282;SBUX 75 CASTILLA CON LA CASTELLANA ;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA CASTELLANA;Gabriela Varias
283;SBUX 76 REAL PLAZA CAJAMARCA;CAJAMARCA;CAJAMARCA;RESTAURANTE\RESTAURANTE;Avenida;VIA DE EVITAMIENTO NORTE ;Sheyda Florindez
284;SBUX 77 PASO CAMINO DEL INCA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;CAMINOS DEL INCA;Gabriela Varias
285;SBUX 78 LA RAMBLA;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;BRASIL;Gabriela Varias
286;SBUX 79 TARATA ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE LARCO;Gabriela Varias
287;SBUX 80 C.C. MALL DEL SUR 1;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA ;Gabriela Varias
288;SBUX 81 UNIV. DE LIMA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;CAMPUS UNIVERSIDAD DE LIMA;Gabriela Varias
289;SBUX 82 GARZON ;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GENERAL GARZÓN;Gabriela Varias
290;SBUX 83 LA MOLINA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Calle;CALLE 7;Gabriela Varias
291;SBUX 84 MEGA PLAZA 2;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Gabriela Varias
292;SBUX 85 UPC SAN ISIDRO ;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;GRAL. FELIPE SALAVERRY;Gabriela Varias
293;SBUX 87 PLAZA VEA BOLICHERA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;LOS PRÓCERES ;Gabriela Varias
294;SBUX 88 OP HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
295;SBUX 89 RP AREQUIPA;AREQUIPA;CAYMA;RESTAURANTE\RESTAURANTE;Avenida;EJERCITO;Sheyda Florindez
296;SBUX 90 MINKA;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ARGENTINA;Gabriela Varias
297;SBUX 91 KIO;LIMA;LURIN;RESTAURANTE\RESTAURANTE;Avenida;FRENTE A LA CARRETERA PANAMERICANA SUR;Gabriela Varias
298;SBUX 92 MALL DEL SUR 2;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA;Gabriela Varias
299;SBUX 93 VILLA MARÍA DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;RESTAURANTE\RESTAURANTE;Avenida;PACHACUTEC ;Gabriela Varias
300;SBUX 94 MATELLINI;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PROLONGACIÓN PASEO DE LA REPÚBLICA ;Gabriela Varias
301;SBUX 95 PLAZA SOL DE ICA ;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTÍN;Sheyda Florindez
302;SBUX 97 OVALO BOLOGNESI  ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JIRÓN BOLOGNESI;Gabriela Varias
303;SBUX 98 CLINICA INTERNACIONAL SAN BORJA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;GUARDIA CIVIL;Gabriela Varias
304;SBUX 99 PEDRO VENTURO ;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PEDRO VENTURO ;Gabriela Varias
305;SBUX 100 UPC VILLA ;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;ALAMEDA SAN MARCOS;Gabriela Varias
306;SBUX 105 LA MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MARISCAL LA MAR;Gabriela Varias
307;SBUX 101 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;CIRCUNVALACION;Gabriela Varias
308;SBUX 103 LAP2 AEROPUERTO;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;AEROPUERTO JORGE CHAVEZ AREA ESPIGON NACIONAL;Gabriela Varias
309;SBUX 106 METRO CANADA;LIMA;LA VICTORIA;RESTAURANTE\RESTAURANTE;Avenida;CANADÁ;Gabriela Varias
310;SBUX 107 CLINICA DELGADO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS OESTE;Gabriela Varias
311;SBUX 108 PLAZA LIMA NORTE 2;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Gabriela Varias
312;SBUX 109 JOCKEY PLAZA 2;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Gabriela Varias
313;SBUX 110 JACARANDA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JACARANDA;Gabriela Varias
314;SBUX 111 PATIO PANORAMA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;CIRCUNVALACIÓN DEL CLUB GOLF LOS INCAS ;Gabriela Varias
315;SBUX 112 PURUCHUCO 1;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Gabriela Varias
316;SBUX 113 PURUCHUCO 2;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON ;Gabriela Varias
317;SBUX 115 RIPLEY JOCKEY;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;Gabriela Varias
318;SBUX 116 AAP AQP - AREQUIPA;AREQUIPA;CERRO COLORADO;RESTAURANTE\RESTAURANTE;Avenida;AEROPUERTO INTERNACIONAL TNTE. FAP “ALFREDO RODRÍGUEZ BALLÓN”;Sheyda Florindez
319;SBUX 119 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA;Sheyda Florindez
320;SBUX 118 WONG SAN MIGUEL ;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;LA MARINA ;Gabriela Varias
321;SBUX 122 WONG MIRAFLORES;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Gabriela Varias
325;SBUX 121 MALL PLAZA COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;LOS ANGELES;Gabriela Varias
326;SBUX CLÍNICA SAN FELIPE;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GREGORIO ESCOBEDO;Gabriela Varias
327;SBUX123 CAMACHO;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;LOS FRUTALES;Gabriela Varias
328;SB126 KIOSKO CENCOSUD;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;RAUL FERRERO  ;Gabriela Varias
329;SBUX128 PISO 3 MA SJL;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Gabriela Varias
330;SBUX127 PISO 2 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Gabriela Varias
331;SBUX132 JULIACA ;SAN ROMAN;JULIACA;CAFETERÍA\CAFETERÍA;Jiron;TUMBES  ;Sheyda Florindez
332;SB133 EJERCITO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;AUGUSTO PEREZ ANIBAL ;Gabriela Varias
333;STARBUCKS 125 TORRE DEL PARQUE;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Calle;LAS BEGONIAS;Gabriela Varias
334;STARBUCKS 135 PLACITA VES;LIMA;VILLA EL SALVADOR;RESTAURANTE\RESTAURANTE;Sin tipo;PARQUE INDUSTRIAL;Gabriela Varias
335;MT 01 AV. SANTA CRUZ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;SANTA CRUZ ;Sara Cordero
336;MT 03 C.C. SALAVERRY;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GENERAL FELIPE SALAVERRY;Sara Cordero
337;MT 02 C.C. EL PASO 28 DE JULIO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;28 DE JULIO ;Sara Cordero
338;MT 04 SAN BORJA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;CALLE MORELLI;Sara Cordero
339;MT 05 CHACARILLA ;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;CALLE MATAMOROS;Sara Cordero
340;MT 06 SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Calle; MANTARO CDRA 3;Sara Cordero
341;MT 08 C.C. JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Sara Cordero
342;MT 09 PURUCHUCO ATE VITARTE;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Sara Cordero
343;MT 07 MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Sara Cordero
344;MT11 GARDENIAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES ;Sara Cordero
345;MT12 DP DOS DE MAYO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;DOS DE MAYO;Sara Cordero
346;MT13 SUCRE;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Avenida;JR. PASEO LIBERTAD;Katherine Gutierrez
350;MT016 PLAZA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Sara Cordero
351;WANTA MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;LOS LIRIOS;Sara Cordero
352;WANTA 02 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Sara Cordero
353;PB 1 OVALO GUTIERREZ ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;SANTA CRUZ;Gabriela Varias
354;PB 3 DIAGONAL ;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MCAL. OSCAR R. BENAVIDES;Gabriela Varias
355;PB 4 CC JOCKEY PLAZA ;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;Gabriela Varias
356;PB 7 EL POLO;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;EL POLO;Gabriela Varias
357;PB 5 OPEN PLAZA ANGAMOS;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO;Gabriela Varias
358;PB 6 CC REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE ( C.C. REAL PLAZA PRIMAVERA);Gabriela Varias
359;PB 8 CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA;Gabriela Varias
360;PB 9 MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;Gabriela Varias
361;PB 11 AVENTURA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;Gabriela Varias
362;PB 12 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE;Sheyda Florindez
363;PB 13 CC SAN BORJA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Gabriela Varias
364;PB 15 PZA. LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Gabriela Varias
365;PB 16 REAL PZA. PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;SANCHEZ CERRO;Sheyda Florindez
366;PB 17 CC LARCOMAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;LARCOMAR, MALECÓN DE LA RESERVA ;Gabriela Varias
367;PB 18 BREA Y PARIÑAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;CAMINOS DEL INCA ;Gabriela Varias
368;PB 20 REAL PZA. CUSCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez
369;PB 19 SALAVERRY;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GRAL. FELIPE SALAVERRY;Gabriela Varias
370;PB 23 PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;LA MARINA;Gabriela Varias
371;PB 24 MALL DEL SUR ;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA;Gabriela Varias
372;PB25 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLÓN;Gabriela Varias
373;BK 2 LARCO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE A. LARCO ;Ereni Valdivia
374;BK 7 PEZET;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;GRAL. JUAN ANTONIO PEZET;Ereni Valdivia
375;BK 8 C.C. MOLINA PLAZA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;RAÚL FERRERO REBAGLIATI;Ereni Valdivia
376;BK 10 C.C. JOCKEY PLAZA FC;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;AV JAVIER PARDO ESTE;Ereni Valdivia
377;BK 12 SAGA FALABELLA FC;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;LAS BEGONIAS;Ereni Valdivia
378;BK 14 C.C. REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;Ereni Valdivia
379;BK 15 C.C. LARCO MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MALECON DE LA RESERVA;Ereni Valdivia
380;BK 17 C.C. MEGA PLAZA INDEP.;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;Ereni Valdivia
381;BK 18 C.C. PLAZA LIMA SUR;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PRLG. PASEO DE LA REPUBLICA;Ereni Valdivia
382;BK 22 HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
383;BK 24 C.C. CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA;Ereni Valdivia
384;BK 25 SOL DE ICA;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;SAN MARTIN;Sheyda Florindez
385;BK 26 OPEN PLAZA MARSANO;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO;Ereni Valdivia
386;BK 27 KIOSKO ICA;ICA;ICA;RESTAURANTE\RESTAURANTE;Plaza;SAN MARTIN ;Sheyda Florindez
387;BK 28 KIOSKO MARSANO;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO;Ereni Valdivia
388;BK 31 MERCADERES;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;CALLE MERCADERES;Sheyda Florindez
389;BK 32 PIURA;PIURA;CASTILLA;RESTAURANTE\RESTAURANTE;Avenida;CACERES;Sheyda Florindez
390;BK 33 KIOSKO PIURA;PIURA;CASTILLA;RESTAURANTE\RESTAURANTE;Avenida;AVELINO CACERES;Sheyda Florindez
391;BK 35 KIOSKO CC CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA;Ereni Valdivia
392;BK 38 KIOSKO HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
393;BK 39 CAMACHO GRIFO REPSOL;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;LOS FRUTALES;Ereni Valdivia
394;BK 40 ROYAL PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;CARLOS IZAGUIRRE;Ereni Valdivia
395;BK 41 KIOSKO REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;Ereni Valdivia
396;BK 42 KIOSKO MERCADERES;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Calle;MERCADERES;Sheyda Florindez
397;BK 44 KIOSKO MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Ereni Valdivia
398;BK 45 KIOSKO TOTTUS JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE ;Ereni Valdivia
399;BK 48 LA MERCED;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Ereni Valdivia
400;BK 49 CAVENECIA;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;EMILIO CAVENECIA;Ereni Valdivia
401;BK 51 AVENTURA PLAZA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL ;Ereni Valdivia
402;BK52 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;RESTAURANTE\RESTAURANTE;Alameda;VÍCTOR RAÚL HAYA DE LA TORRE;Sheyda Florindez
403;BK 54 CC SAN BORJA FOOD COURT;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;CARPACCIO;Ereni Valdivia
404;BK 56 KIOSKO MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;RESTAURANTE\RESTAURANTE;Avenida;V.R.H. DE LA TORRE;Sheyda Florindez
405;BK 55 KIOSKO CC LA RAMBLA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;CARPACCIO ;Ereni Valdivia
406;BK 57 REPSOL PRECURSORES;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PRIMAVERA;Ereni Valdivia
407;BK 58 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Ereni Valdivia
408;BK 59 CHACARILLA - BREA Y PARIÑAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;CAMINOS DEL INCA ;Ereni Valdivia
409;BK 60 REAL PZA. CUSCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;COLLASUYO;Sheyda Florindez
410;BK 61 KIOSCO PZA. LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;Ereni Valdivia
411;BK 62 KIOSCO REAL PZA. PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;SANCHEZ CERRO;Sheyda Florindez
412;BK 63 KIOSKO C.C. REAL PLAZA CUSCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;COLLASUYO;Sheyda Florindez
413;BK 64 C.C. SALAVERRY;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GRAL. FELIPE SALAVERRY;Ereni Valdivia
414;BK 65 KIOSKO PLAZA LIMA SUR;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PROL.PASEO D LA REPUBLICA;Ereni Valdivia
415;BK 66 C.C. LA RAMBLA BREÑA;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;BRASIL;Ereni Valdivia
416;BK 67 KIOSKO RAMBLA BRASIL;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;BRASIL;Ereni Valdivia
417;BK 70 MALL DEL SUR ;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA ;Ereni Valdivia
418;BK 71 KIOSKO MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA ;Ereni Valdivia
419;BK 72 GARDENIAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Ereni Valdivia
420;BK 73 TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;FÁTIMA;Sheyda Florindez
421;BK 75 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Ereni Valdivia
422;BK76 KIOSKO PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Ereni Valdivia
423;BK78 VMT;LIMA;VILLA MARIA DEL TRIUNFO;RESTAURANTE\RESTAURANTE;Avenida;PACHACUTEC;Ereni Valdivia
424;BK81 PSM - PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;CENTRO COMERCIAL PLAZA SAN MIGUEL, LA MARINA CON UNIVERSITARIA;Ereni Valdivia
425;BK 82 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;Ereni Valdivia
426;BK84 MPC - MALL PLAZA COMAS;LIMA;COMAS;RESTAURANTE\RESTAURANTE;Avenida;LOS ÁNGELES;Ereni Valdivia
427;BK 85 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA ;Sheyda Florindez
428;BK 86 KIOSKO MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA;Sheyda Florindez
432;BK79 KIOSKO VMT;LIMA;VILLA MARIA DEL TRIUNFO;RESTAURANTE\RESTAURANTE;Avenida;PACHACUTEC;Ereni Valdivia
433;BK90 MALL AVENTURA SJL FC;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;Ereni Valdivia
434;TP_02 - C.C. MEGA PLAZA CAÑETE;CAÑETE;SAN VICENTE DE CAÑETE;RESTAURANTE\RESTAURANTE;Avenida;MRCAL OSCAR BENAVIDES;Sheyda Florindez
435;TP_03 - C.C. MEGA PLAZA CHINCHA;CHINCHA;CHINCHA ALTA;RESTAURANTE\RESTAURANTE;Sin tipo;MARISCAL BENAVIDES ;Sheyda Florindez
436;TP_04 MEGAPLAZA VILLA CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Alameda;SUR ESQ AV SAN MARCOS;Katherine Gutierrez
437;TP_05 - C.C. LA RAMBLA BRASIL;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;BRASIL;Mariaelena Quiroz
438;TP_06 - PLAZAVEA VENTANILLA ;CALLAO;VENTANILLA;RESTAURANTE\RESTAURANTE;Avenida;AV. NESTOR GAMBETA;Mariaelena Quiroz
439;TP_08 RP CAJAMARCA;CAJAMARCA;CAJAMARCA;RESTAURANTE\RESTAURANTE;Avenida;EVITAMIENTO NORTE;Sheyda Florindez
440;TP_12 TOTTUS CAMPOY;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Sin tipo;MALECON CHECA ;Yeisll Diaz
441;TP_14 PUENTE PIEDRA;LIMA;PUENTE PIEDRA;RESTAURANTE\RESTAURANTE;Avenida;SAENZ PEÑA;Paola Mija
442;TP_17 PLAZA VEA LURIN;LIMA;LURIN;RESTAURANTE\RESTAURANTE;Avenida;ANTIGUA PANAMERICANA SUR;Yeisll Diaz
443;TP 20 METRO FAUCETT;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;REPUBLICA DE VENEZUELA;Mariaelena Quiroz
444;TP_21 REAL PLAZA CHORRILLOS;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;GUARDIA CIVIL;Katherine Gutierrez
445;TP_15 RP SANTA CLARA;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLÁS AYLLÓN ;Yeisll Diaz
446;TELD1 PEDRO VENTURO;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PEDRO VENTURO;Yeisll Diaz
447;TELD2 CRUCETAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;GUARDIA CIVIL NORTE;Yeisll Diaz
448;TELD3 CONTISUYO;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT;Mariaelena Quiroz
449;TELD 4 PRIMAVERA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PRIMAVERA;Yeisll Diaz
450;TELD 6 AVIACIÓN ;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;AVIACION;Yeisll Diaz
451;TELD 8 FAUCETT;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT;Mariaelena Quiroz
452;TELD 10 JUAN DE ALIAGA;LIMA;MAGDALENA DEL MAR;RESTAURANTE\RESTAURANTE;Avenida;MIROQUESADA;Mariaelena Quiroz
453;TELD 11 AV. UNIVERSITARIA;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;UNIVERSITARIA;Mariaelena Quiroz
454;TELD 12 ARAMBURU;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;ARAMBURU ANDRES;Yeisll Diaz
455;TELD 13  BOLIVAR /GRIFO ABA SINGER;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Avenida;SIMON BOLIVAR;Katherine Gutierrez
456;TELD 14 LA MERCED;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Katherine Gutierrez
