Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS
KFC 25 LARCO MAR;LIMA;MIRAFLORES;Malecon;DE LA RESERVA;Katherine Gutierrez
KFC 26 LIMATAMBO;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Yeisll Diaz
KFC 27 SAGA AREQUIPA;AREQUIPA;AREQUIPA;Avenida;CALLE ARCES SAGAFALABELLA CAYMA ;Sheyda Florindez
KFC 28 ROYAL PLAZA PH 26;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Paola Mija
KFC 29 FOOD COURT MEGA;LIMA;INDEPENDENCIA;Avenida;CENTRO COMERCIAL MEGAPLAZA, AV. ALFREDO MENDIOLA;Paola Mija
KFC 30 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
KFC 31 FC CÁNEPA;LIMA;LA VICTORIA;Avenida;ANTONIO BAZO ;Yeisll Diaz
KFC 34 CHORRILLOS;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
KFC 35 LIMA SUR CHORRILLOS;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
KFC 36 PLAZA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;M. DE CERVANTES;Sheyda Florindez
KFC 37 TAIPEI;LIMA;MIRAFLORES;Avenida;JOSE A. ENCINAS;Katherine Gutierrez
KFC 38 SAN LUIS;LIMA;SAN LUIS;Avenida;CANADA;Yeisll Diaz
KFC 39 FAUCETT CALLAO PHD 8;CALLAO;CALLAO;Avenida;ELMER FAUCETT;Mariaelena Quiroz
KFC 40 COMAS;LIMA;COMAS;Avenida;TUPAC AMARU;Paola Mija
KFC 42 TELLO;LIMA;SURQUILLO;Avenida;REPUBLICA DE PANAMA;Yeisll Diaz
KFC 43 SODIMAC;LIMA;LA VICTORIA;Avenida;JAVIER PRADO ESTE;Yeisll Diaz
KFC 45 PEZET;LIMA;SAN ISIDRO;Avenida;PEZET, GENERAL JUAN ANTONIO;Yeisll Diaz
KFC 46 SAN JUAN ;LIMA;SAN JUAN DE MIRAFLORES;Avenida;SAN JUAN;Yeisll Diaz
KFC 48 REAL PLAZA ;TRUJILLO;TRUJILLO;Avenida;CESAR VALLEJO OESTE;Sheyda Florindez
KFC 49 MALL PLAZA;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE ;Sheyda Florindez
KFC 50 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;Avenida;CIRCUNVALACION;Yeisll Diaz
KFC 51 TOMÁS VALLE;CALLAO;CALLAO;Avenida;TOMAS VALLE;Mariaelena Quiroz
KFC 52 HABICH;LIMA;SAN MARTIN DE PORRES;Avenida;DE HABICH EDUARDO;Paola Mija
KFC 53 SURQUILLO ;LIMA;SURQUILLO;Avenida;ANGAMOS ESTE;Yeisll Diaz
KFC 55 HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL, REAL PLAZA ;Sheyda Florindez
KFC 56 CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA,C.C CENTRO CIVICO ;Yeisll Diaz
KFC 57 ICA;ICA;ICA;Avenida;SAN MARTIN ;Sheyda Florindez
KFC 58 MINKA CALLAO;CALLAO;CALLAO;Avenida;ARGENTINA - MINKA;Mariaelena Quiroz
KFC 59 CONTISUYO;LIMA;SAN MIGUEL;Avenida;ELMER FAUCETT;Mariaelena Quiroz
KFC 60 OPEN PLAZA MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Yeisll Diaz
KFC 61 PARQUE ARAUCO AREQUIPA;AREQUIPA;AREQUIPA;Avenida;LAMBRAMANI;Sheyda Florindez
KFC 62 METRO BREÑA;LIMA;BREÑA;Avenida;IQUIQUE;Mariaelena Quiroz
KFC 63  MERCADERES AREQUIPA;AREQUIPA;AREQUIPA;Calle;CALLE MERCADERES;Sheyda Florindez
KFC 64 OPEN PLAZA PIURA;PIURA;PIURA;Avenida;CACERES OPEN PLAZA;Sheyda Florindez
KFC 65 PLAZA SOL DE HUACHO;HUAURA;HUACHO;Avenida;CALLE COLON;Sheyda Florindez
KFC 66 REP DOMINICANA;LIMA;JESUS MARIA;Avenida;REPUBLICA DOMINICANA ;Mariaelena Quiroz
KFC 67 ARZOBISPADO DEL CUSCO;CUSCO;CUSCO;Calle;PORTAL CARNES;Sheyda Florindez
KFC 68 LINCE/BERNARDO ALCEDO;LIMA;LINCE;Avenida;AREQUIPA;Katherine Gutierrez
KFC 69 BOLIVAR;LIMA;PUEBLO LIBRE;Avenida;SIMON BOLIVAR;Katherine Gutierrez
KFC 70 UNIVERSITARIA;LIMA;SAN MIGUEL;Avenida;UNIVERSITARIA;Mariaelena Quiroz
KFC 72 CAVENECIA ;LIMA;MIRAFLORES;Avenida;EMILIO CAVENECIA;Katherine Gutierrez
KFC 73 PARQUE AGUSTINO;LIMA;EL AGUSTINO;Jiron;ANCASH;Yeisll Diaz
KFC 74 EL QUINDE;CAJAMARCA;CAJAMARCA;Jiron;SOR MANUELA GIL ;Sheyda Florindez
KFC 75 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
KFC 76 BELLAVISTA;CALLAO;CALLAO;Avenida;OSCAR R. BENAVIDES ;Mariaelena Quiroz
KFC 77 PLAZA DE LA LUNA  ;PIURA;PIURA;Avenida;GRAU - CENTRO COMERCIAL PLAZA DE LA LUNA PIURA;Sheyda Florindez
KFC 79 MEGA EXPRESS V. EL SALVADOR;LIMA;VILLA EL SALVADOR;Carretera;CAR, ANTIGUA PANAMERICANA SUR MZA. 29, LURÍN 15841;Yeisll Diaz
KFC 80 REAL PLAZA PRO ;LIMA;SAN MARTIN DE PORRES;Avenida;REAL PLAZA ALFREDO MENDIOLA ;Paola Mija
KFC 81 MEGA PLAZA CHIMBOTE ;SANTA;CHIMBOTE;Avenida;V. R. H. DE LA TORRE;Sheyda Florindez
KFC 82 AVENTURA STA. ANITA ;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Yeisll Diaz
KFC 83 PETIT THOUARS;LIMA;LINCE;Avenida;DU PETIT THOUARS, ABEL BERGASSE;Katherine Gutierrez
KFC 84 OVALO LARCO, TRUJILLO;TRUJILLO;TRUJILLO;Avenida;VICTOR LARCO HERRERA;Sheyda Florindez
KFC 85 TOMASAL ;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA ;Yeisll Diaz
KFC 86 CHIMU;LIMA;SAN JUAN DE LURIGANCHO;Avenida;GRAN CHIMU;Yeisll Diaz
KFC 87 MICAELA BASTIDAS ;LIMA;COMAS;Avenida;TUPAC AMARU ;Paola Mija
KFC 88 C.C. LA RAMBLA;LIMA;SAN BORJA;Jiron;CARPACCIO;Yeisll Diaz
KFC 89 ANGÉLICA GAMARRA;LIMA;LOS OLIVOS;Avenida;ANGELICA GAMARRA DE LEON;Paola Mija
KFC 90 TOTTUS HUAYLAS ;LIMA;CHORRILLOS;Avenida;DEFENSORES DEL MORRO ;Katherine Gutierrez
KFC 91 BRASIL ;LIMA;MAGDALENA DEL MAR;Avenida;JAVIER PRADO OESTE;Mariaelena Quiroz
KFC 92 REAL PLAZA JULIACA ;SAN ROMAN;JULIACA;Avenida;TUMBES;Sheyda Florindez
KFC 93 TOTTUS LA MARINA ;LIMA;SAN MIGUEL;Avenida;LA MARINA ;Mariaelena Quiroz
KFC 94 CASA WELSCH ;LIMA;LIMA;Jiron;JIRÓN DE LA UNIÓN ;Yeisll Diaz
KFC 95 TOTTUS GUIPOR  ;LIMA;LOS OLIVOS;Avenida;MENDIOLA, ALFREDO;Paola Mija
KFC 96 AVENTURA AREQUIPA;AREQUIPA;AREQUIPA;Avenida;C.C.MALL AVENTURA PLAZA ;Sheyda Florindez
KFC 97 REAL PZA. HUANUCO;HUANUCO;HUANUCO;Jiron;INDEPENDENCIA;Sheyda Florindez
KFC 99 REAL PLAZA PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez
KFC 101 BODEGONES;LIMA;SANTIAGO DE SURCO;Calle;CAMINOS DEL INCA;Yeisll Diaz
KFC 102 TARAPACA;LIMA;RIMAC;Avenida;FELIPE ARANCIBIA, RÍMAC 15094;Katherine Gutierrez
KFC 103 CANTO GRANDE;LIMA;SAN JUAN DE LURIGANCHO;Avenida;CANTO GRANDE;Yeisll Diaz
KFC 105 EL QUINDE ICA;ICA;ICA;Avenida;LOS MAESTROS;Sheyda Florindez
KFC 106 AV. AREQUIPA 1300;LIMA;LIMA;Jiron;CABO TEODORO CÁRDENAS;Yeisll Diaz
KFC 107 OPEN PZA. PUCALLPA;CORONEL PORTILLO;CALLERIA;Avenida;AVENIDA CENTENARIO;Sheyda Florindez
KFC 108 REAL PZA. CUSCO;CUSCO;CUSCO;Avenida;AV. COLLASUYOCUSCO 08003;Sheyda Florindez
KFC 114 STA. CLARA;LIMA;ATE;Avenida; NICOLÁS AYLLON;Yeisll Diaz
KFC 110 CAJAMARCA;CAJAMARCA;CAJAMARCA;Avenida;EVITAMIENTO NORTE ;Sheyda Florindez
KFC 111 REAL PLAZA PUCALLPA;CORONEL PORTILLO;CALLERIA;Avenida;CENTENARIO;Sheyda Florindez
KFC 112 CC OPEN PZA. MODASA;LIMA;ATE;Avenida;LOS FRUTALES;Yeisll Diaz
KFC 113 MONTERREY;LIMA;SAN MARTIN DE PORRES;Avenida;PERÚ;Paola Mija
KFC 114 REAL PLAZA SALAVERRY;LIMA;JESUS MARIA;Avenida;GENERAL FELIPE SALAVERRY;Mariaelena Quiroz
KFC 115 LA RAMBLA BRASIL;LIMA;BREÑA;Avenida;BRASIL;Mariaelena Quiroz
KFC 116 PLAZA VEA VENTANILLA;CALLAO;VENTANILLA;Avenida;PEDRO BELTRÁN ;Mariaelena Quiroz
KFC 117 C.C. MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Yeisll Diaz
KFC 118 HUANUCO ;HUANUCO;HUANUCO;Jiron;CC OPEN PLAZA HUANUCO;Sheyda Florindez
KFC 119 LA MOLINA;LIMA;LA MOLINA;Calle;CALLE 7;Mariaelena Quiroz
KFC 120 VENEZUELA;LIMA;BREÑA;Avenida;VENEZUELA;Mariaelena Quiroz
KFC 121 OP HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
KFC 122 MEGAPLAZA 03 ;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
KFC 123 LA BOLICHERA;LIMA;SANTIAGO DE SURCO;Avenida;LOS PRÓCERES ;Yeisll Diaz
KFC 124 PLAZA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
KFC 125 CC PLAZA VEA LURIN;LIMA;LURIN;Carretera; ANTIGUA PANAMERICANA;Yeisll Diaz
KFC 126 VILLA MARÍA DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;Avenida;VILLA MARÍA DEL TRIUNFO;Yeisll Diaz
KFC 127 PUENTE PIEDRA;LIMA;PUENTE PIEDRA;Avenida;AV. PUENTE PIEDRA , PUENTE PIEDRA 15118;Paola Mija
KFC 128 LAP;CALLAO;CALLAO;Avenida;ELMER FAUCETT AEROPUERTO INT. JORGE CHAVEZ;Mariaelena Quiroz
KFC 130 MALL DEL SUR 2;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Yeisll Diaz
KFC 131 REAL PLAZA AREQUIPA ;AREQUIPA;AREQUIPA;Avenida;EJERCITO;Sheyda Florindez
KFC 132 VILLA EL SALVADOR;LIMA;VILLA EL SALVADOR;Avenida;SOLIDARIDAD ;Yeisll Diaz
KFC 133 GUILLERMO DE LA FUENTE ;LIMA;COMAS;Avenida;UNIVERSITARIA ;Paola Mija
KFC 134 MEGAPLAZA CAÑETE;CAÑETE;SAN VICENTE DE CAÑETE;Avenida;MARGARITA, SAN VICENTE DE CAÑETE MEGA PLAZA ;Sheyda Florindez
KFC 136 CANTA CALLAO;CALLAO;CALLAO;Avenida;CANTA CALLAO;Mariaelena Quiroz
KFC 137 CHINCHA ;CHINCHA;CHINCHA ALTA;Sin tipo;C.C. MEGAPLAZA CHINCHA;Sheyda Florindez
KFC 138 PLAZA LIMA NORTE 3;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA(C.C. PLAZA LIMA NORTE, LOCAL CA-2);Paola Mija
KFC 139 AVENTURA SANTA ANITA 2;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Yeisll Diaz
KFC 140 ESTACION SAN MARTIN ;LIMA;SAN JUAN DE LURIGANCHO;Avenida;SAN MARTIN CON AV. WIESSE;Yeisll Diaz
KFC 141 PSM - PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;LA MARINA ;Mariaelena Quiroz
KFC 142 BARRANCA;BARRANCA;BARRANCA;Jiron;RAMON ZAVALA ;Sheyda Florindez
KFC 143 PEDRO DE OSMA;LIMA;BARRANCO;Avenida;PEDRO DE OSMA;Katherine Gutierrez
KFC 144 JARDINES;LIMA;SAN JUAN DE LURIGANCHO;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
KFC 145 SAN CARLOS;LIMA;SAN JUAN DE LURIGANCHO;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
KFC 147 VILLARAN;LIMA;SURQUILLO;Avenida;MANUEL VILLARAN ;Yeisll Diaz
KFC 150 TUMBES;TUMBES;TUMBES;Avenida;SAN MARTÍN;Sheyda Florindez
KFC 151 MOQUEGUA;ILO;ILO;Avenida;CIRCUNVALACIÓN FUNDO EL GRAMADAL;Sheyda Florindez
KFC 152 TACNA;TACNA;TACNA;Avenida;CUSCO ;Sheyda Florindez
KFC 153 HUARAL;HUARAL;HUARAL;Avenida; CHANCAYE, HUARAL 15202;Sheyda Florindez
KFC 154 MEGA PLAZA CHORRILLOS;LIMA;CHORRILLOS;Avenida;ALAMEDA SUR;Katherine Gutierrez
KFC 155 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Yeisll Diaz
KFC 156 PUNO;PUNO;PUNO;Avenida;LOS INCAS ;Sheyda Florindez
KFC 157 ILO;ILO;ILO;Avenida;COSTANERA;Sheyda Florindez
KFC 159 OVALO 200 MILLAS;CALLAO;CALLAO;Avenida;ELMER FAUCETT;Mariaelena Quiroz
KFC 160 KIO;LIMA;LURIN;Avenida;SUB LOTE 1, FRENTE A LA CARRETERA PANAMERICANA SUR KM. 26.62;Yeisll Diaz
KFC 161 PISCO;PISCO;PISCO;Avenida;FERMÍN TANGÜIS;Sheyda Florindez
KFC 163 KIOSKO MEGAPLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
KFC 164 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON ;Yeisll Diaz
KFC 165 KIOSCO PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Yeisll Diaz
KFC 171 QHATU PLAZA;LIMA;ATE;Avenida;LA ESTRELLA;Yeisll Diaz
KFC 173 MPC - MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS ÁNGELES;Paola Mija
KFC 177 GUARDIA CIVIL ;LIMA;CHORRILLOS;Jiron;GUARDIA CIVIL;Katherine Gutierrez
KFC 183 - MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA;Sheyda Florindez
KFC 186 HEROES;LIMA;SAN JUAN DE MIRAFLORES;Avenida;CINESTAR SUR EN SUB LOTE 16 ;Yeisll Diaz
CAR 1: AV. JAVIER PRADO OESTE 1650, S.I.;LIMA;SAN ISIDRO;Avenida;JAVIER PRADO OESTE;Paola Mija
CAR 4: AV. PARDO 299, 2° PISO, MIRAFLORES;LIMA;MIRAFLORES;Avenida;DOS DE MAYO;Paola Mija
CAR 6: AV.  DOS DE MAYO 1590, S.I.;LIMA;SAN ISIDRO;Avenida;PARDO;Paola Mija
CAR 7: AV. LOS NOGALES 294, S. I.;LIMA;SAN ISIDRO;Avenida;LOS NOGALES;Paola Mija
COCINA CENTRAL RANSA DELOSI ;CALLAO;CALLAO;Avenida;ARGENTINA;Mariaelena Quiroz
KF187 PORONGOCHE AQP;AREQUIPA;PAUCARPATA;Avenida;PORONGOCHE;Sheyda Florindez
KFC 189 ALAMEDA SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;CANTO GRANDE;Yeisll Diaz
KFC 190 OPEN PLAZA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;AMERICA;Sheyda Florindez
KFC 148 BAYOVAR ;LIMA;SAN JUAN DE LURIGANCHO;Avenida;PROCERES DE LA INDEPENDENCIA;Yeisll Diaz
DELOSI CALL CENTER ;LIMA;LIMA;Avenida;AREQUIPA;Mariaelena Quiroz
KFC 188 METRO VENTANILLA;CALLAO;VENTANILLA;Avenida;NESTOR GAMBETA;Mariaelena Quiroz
KFC191 MALL AVENTURA SJL FC;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Yeisll Diaz
KFC193 MALL AVENTURA SJL IL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Yeisll Diaz
KFC176 MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS ANGELES;Paola Mija
KFC 192 IQUITOS;MAYNAS;IQUITOS;Avenida;CAPITAN JOSE ABELADO QUIÑONES ;Sheyda Florindez
KFC166 AVENIDA PERU;LIMA;SAN MARTIN DE PORRES;Avenida;PERU ;Paola Mija
SBUX 1 OVALO;LIMA;MIRAFLORES;Avenida;ANDRES SANTA CRUZ;Gabriela Varias
SBUX 2 JOCKEY;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE;Gabriela Varias
SBUX 3 EL POLO;LIMA;SANTIAGO DE SURCO;Avenida;EL POLO ;Gabriela Varias
SBUX 4  COUNTRY;LIMA;SAN ISIDRO;Calle;LOS EUCALIPTOS ;Gabriela Varias
SBUX 5  MOLINA PLAZA;LIMA;LA MOLINA;Avenida;RAUL FERRERO REBAGLIATI;Gabriela Varias
SBUX 6 BEGONIAS;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS ;Gabriela Varias
SBUX 7  LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA ;Gabriela Varias
SBUX 9 BENAVIDES - SURCO;LIMA;SANTIAGO DE SURCO;Avenida;BENAVIDES ALFREDO ;Gabriela Varias
SBUX 10, CONQUISTADORES;LIMA;SAN ISIDRO;Avenida;LOS CONQUISTADORES;Gabriela Varias
SBUX 11 PARQUE SUR;LIMA;SAN ISIDRO;Avenida;DEL PARQUE SUR;Gabriela Varias
SBUX 12 BENAVIDES -  TAIPEI;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;Gabriela Varias
SBUX 13 CHACARILLA;LIMA;SANTIAGO DE SURCO;Jiron;MONTERREY ;Gabriela Varias
SBUX 14 MORELLI;LIMA;SAN BORJA;Calle;MORELLI;Gabriela Varias
SBUX 15 DIAGONAL;LIMA;MIRAFLORES;Avenida;MARISCAL OSCAR;Gabriela Varias
SBUX 16 MONITOR;LIMA;LA MOLINA;Avenida;JAVIER PRADO;Gabriela Varias
SBUX 17 SODIMAC;LIMA;SAN MIGUEL;Avenida;LA MARINA ;Gabriela Varias
SBUX 19 UPC;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA;Gabriela Varias
SBUX 20 LAP;CALLAO;CALLAO;Avenida;ELMER FAUCETT AREOPUERTO JORGE CHAVEZ MEZANINE NORTE;Gabriela Varias
SBUX 21 DASSO;LIMA;SAN ISIDRO;Avenida;VICTOR MAURTUA;Gabriela Varias
SBUX 22 TRUJILLO;TRUJILLO;TRUJILLO;Avenida;CESAR VALLEJO OESTE;Sheyda Florindez
SBUX 23 SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;LA MARINA ;Gabriela Varias
SBUX 24 CHICLAYO;CHICLAYO;CHICLAYO;Avenida; MIGUEL DE CERVANTES;Sheyda Florindez
SBUX 25 BELLAVISTA;CALLAO;BELLAVISTA;Avenida;OSCAR R. BENAVIDES;Gabriela Varias
SBUX 26 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Gabriela Varias
SBUX 27 DOS DE MAYO;LIMA;SAN ISIDRO;Avenida;CA.LAS FLORES;Gabriela Varias
SBUX 28 CENTRO CIVICO;LIMA;LIMA;Avenida;PASEO DE LA REPUBLICA;Gabriela Varias
SBUX 29 OPEN MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Gabriela Varias
SBUX 30 SUCRE;LIMA;PUEBLO LIBRE;Jiron;ANTONIO JOSE DE SUCRE;Gabriela Varias
SBUX 32 MERCADERES;AREQUIPA;AREQUIPA;Avenida;CALLE MERCADERES;Sheyda Florindez
SBUX 33 BEGONIAS 2;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS;Gabriela Varias
SBUX 34 CC REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE ;Gabriela Varias
SBUX 35 OPEN PLAZA PIURA;PIURA;PIURA;Avenida;ANDRES A. CACERES;Sheyda Florindez
SBUX 36 CHACARILLA 2;LIMA;SANTIAGO DE SURCO;Avenida;VELASCO ASTETE ALEJANDRO;Gabriela Varias
SBUX 38 JUAN DE ALIAGA, MAGDALENA;LIMA;MAGDALENA DEL MAR;Avenida;MIROQUESADA ;Gabriela Varias
SBUX 39 PEDRO DE OSMA;LIMA;BARRANCO;Avenida;PEDRO DE OSMA;Gabriela Varias
SBUX 40 CASA LEURO;LIMA;MIRAFLORES;Avenida;28 DE JULIO;Gabriela Varias
SBUX 41 CUSCO;CUSCO;CUSCO;Avenida;LORETO;Sheyda Florindez
SBUX 42  REAL ONCE;LIMA;SAN ISIDRO;Avenida;BELAUNDE VICTOR A.;Gabriela Varias
SBUX 43 SAGA AREQUIPA;AREQUIPA;CAYMA;Avenida;EJERCITO;Sheyda Florindez
SBUX 44 PLAZA LIMA SUR;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Gabriela Varias
SBUX 45 PARDO;LIMA;MIRAFLORES;Avenida;JOSE PARDO;Gabriela Varias
SBUX 46 PLAZA LIMA NORTE 2;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Gabriela Varias
SBUX 47 HOTEL MARRIOTT;LIMA;MIRAFLORES;Avenida;JOSE A. LARCO ;Gabriela Varias
SBUX 48 AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Gabriela Varias
SBUX 49 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez
SBUX 50 SAN BORJA NORTE;LIMA;SAN BORJA;Avenida;BOULEVARD DE SUCO ;Gabriela Varias
SBUX 51 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Avenida;VÍCTOR RAÚL HAYA DE LA TORRE;Sheyda Florindez
SBUX 53 STRIP AURORA;LIMA;MIRAFLORES;Calle;JOSÉ SABOGAL;Gabriela Varias
SBUX 54 AVENTURA AREQUIPA;AREQUIPA;PAUCARPATA;Avenida;C.C.MALL AVENTURA PLAZA;Sheyda Florindez
SBUX 55 CC SAN BORJA MODULO;LIMA;SAN BORJA;Avenida;JAVIER PRADO ESTE;Gabriela Varias
SBUX 56 REAL PLAZA HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
SBUX 57 CASA WELSCH JR. DE LA UNION;LIMA;LIMA;Jiron;UNION;Gabriela Varias
SBUX 58 GREENBUILDING, SAN ISIDRO;LIMA;SAN ISIDRO;Calle;LAS ORQUIDEAS;Gabriela Varias
SBUX 59 CÁMARA DE COMERCIO DE LIMA;LIMA;JESUS MARIA;Avenida;GIUSEPPE GARIBALDI - ESQ. HUIRACOCHA N° 2199;Gabriela Varias
SBUX 60 REAL PLAZA PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO ;Sheyda Florindez
SBUX 61 CRONOS;LIMA;SANTIAGO DE SURCO;Avenida;EL DERBY;Gabriela Varias
SBUX 62 PRIMAVERA;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA;Gabriela Varias
SBUX 63 CENTRO CIVICO 2 MODULO;LIMA;LIMA;Avenida;INCA GARCILASO DE LA VEGA;Gabriela Varias
SBUX 64 DOS DE MAYO;LIMA;SAN ISIDRO;Avenida;DOS DE MAYO;Gabriela Varias
SBUX 65 PASEO LIBERTAD;LIMA;PUEBLO LIBRE;Jiron;PASEO LIBERTAD;Gabriela Varias
SBUX 66 AREQUIPA;LIMA;LIMA;Avenida;CABO TEODORO CÁRDENAS ;Gabriela Varias
SBUX 67 CC LA FONTANA;LIMA;LA MOLINA;Avenida;LA FONTANA ;Gabriela Varias
SBUX 68 CANAVAL Y MOREYRA;LIMA;SAN ISIDRO;Avenida;CANAVAL Y MOREYRA;Gabriela Varias
SBUX 69 EL QUINDE, ICA;ICA;ICA;Avenida;LOS MAESTROS ;Sheyda Florindez
SBUX 70 BREA Y PARIÑAS;LIMA;SANTIAGO DE SURCO;Avenida;CAMINOS DEL INCA;Gabriela Varias
SBUX 71 REAL PLAZA CUZCO;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez
SBUX 72 STRIP MALL 28 DE JULIO;LIMA;MIRAFLORES;Avenida;28 DE JULIO;Gabriela Varias
SBUX 73 REAL PLAZA SALAVERRY;LIMA;JESUS MARIA;Avenida;RESIDENCIAL SALAVERRY;Gabriela Varias
SBUX 74 LOPEZ DE AYALA;LIMA;SAN BORJA;Avenida;SAN LUIS ;Gabriela Varias
SBUX 75 CASTILLA CON LA CASTELLANA ;LIMA;SANTIAGO DE SURCO;Avenida;PASEO DE LA CASTELLANA;Gabriela Varias
SBUX 76 REAL PLAZA CAJAMARCA;CAJAMARCA;CAJAMARCA;Avenida;VIA DE EVITAMIENTO NORTE ;Sheyda Florindez
SBUX 77 PASO CAMINO DEL INCA;LIMA;SANTIAGO DE SURCO;Avenida;CAMINOS DEL INCA;Gabriela Varias
SBUX 78 LA RAMBLA;LIMA;BREÑA;Avenida;BRASIL;Gabriela Varias
SBUX 79 TARATA ;LIMA;MIRAFLORES;Avenida;JOSE LARCO;Gabriela Varias
SBUX 80 C.C. MALL DEL SUR 1;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;Gabriela Varias
SBUX 81 UNIV. DE LIMA;LIMA;SANTIAGO DE SURCO;Avenida;CAMPUS UNIVERSIDAD DE LIMA;Gabriela Varias
SBUX 82 GARZON ;LIMA;JESUS MARIA;Avenida;GENERAL GARZÓN;Gabriela Varias
SBUX 83 LA MOLINA;LIMA;LA MOLINA;Calle;CALLE 7;Gabriela Varias
SBUX 84 MEGA PLAZA 2;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Gabriela Varias
SBUX 85 UPC SAN ISIDRO ;LIMA;SAN ISIDRO;Avenida;GRAL. FELIPE SALAVERRY;Gabriela Varias
SBUX 87 PLAZA VEA BOLICHERA;LIMA;SANTIAGO DE SURCO;Avenida;LOS PRÓCERES ;Gabriela Varias
SBUX 88 OP HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
SBUX 89 RP AREQUIPA;AREQUIPA;CAYMA;Avenida;EJERCITO;Sheyda Florindez
SBUX 90 MINKA;CALLAO;CALLAO;Avenida;ARGENTINA;Gabriela Varias
