Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS
TEL 13 SUCRE;LIMA;PUEBLO LIBRE;Avenida;BOLIVAR;Katherine Gutierrez
TEL 14 JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz
TEL 15 ARMENDARIZ;LIMA;MIRAFLORES;Avenida;ARMENDARIZ;Katherine Gutierrez
TEL 16 JOCKEY ;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz
TEL 17 SANTA ANITA;LIMA;SANTA ANITA;Calle;LAS ALONDRAS;Yeisll Diaz
TEL 18 SAGA;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS;Yeisll Diaz
TEL 19 LARCO;LIMA;MIRAFLORES;Avenida;JOSE A. LARCO;Katherine Gutierrez
TEL 20 LIMATAMBO;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Yeisll Diaz
TEL 21 LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA;Katherine Gutierrez
TEL 23 FC MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Paola Mija
TEL 24 RBD MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Paola Mija
TEL 25 CÁNEPA;LIMA;LA VICTORIA;Jiron;ANTONIO BAZO ;Yeisll Diaz
TEL 26 ROYAL PLAZA;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Paola Mija
TEL 28 CHORRILLOS;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
TEL 29 LIMA SUR CHORRILLOS;LIMA;CHORRILLOS;PROLG.;PASEO DE LA REPUBLICA;Katherine Gutierrez
TEL 30 REAL PLAZA CHICLAYO ;CHICLAYO;CHICLAYO;Avenida;MURO Y DIEGO FERRE - MIGUEL DE CERVANTES;Sheyda Florindez
TEL 33 COMAS;LIMA;COMAS;Avenida;TUPAC AMARU ;Paola Mija
TEL 35 REAL PLAZA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;CESAR VALLEJO;Sheyda Florindez
TEL 36 MALL PLAZA;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez
TEL 37 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;Avenida;CIRCUNVALACION ;Yeisll Diaz
TEL 39 HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL C.C. REAL PLAZA;Sheyda Florindez
TEL 40 ICA;ICA;ICA;Avenida;SAN MARTIN ;Sheyda Florindez
TEL 41 CENTRO CÍVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA ;Yeisll Diaz
TEL 42 OPEN MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Yeisll Diaz
TEL 43 MERCADERES;AREQUIPA;AREQUIPA;Calle;MERCADERES;Sheyda Florindez
TEL 44 OP PIURA;PIURA;PIURA;Avenida;CACERES;Sheyda Florindez
TEL 45 HUACHO;HUAURA;HUACHO;Calle;COLON (C.C. PLAZA DEL SOL HUACHO);Sheyda Florindez
TEL 46 PQ. ARARUCO;AREQUIPA;AREQUIPA;Avenida;LAMBRAMANI;Sheyda Florindez
TEL48 PIURA;PIURA;PIURA;Avenida;ANDRES AVELINO CACERES;Sheyda Florindez
TEL 49 PARQUE AGUSTINO;LIMA;EL AGUSTINO;Jiron;ANCASH;Yeisll Diaz
TEL 50 EL QUINDE;CAJAMARCA;CAJAMARCA;Jiron;SOR MANUELA GIL;Sheyda Florindez
TEL 52 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Avenida;V. R. H. DE LA TORRE - MEGAPLAZA CHIMBOTE;Sheyda Florindez
TEL 53 FOOD COURT AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Yeisll Diaz
TEL 54 ACDR AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Yeisll Diaz
TEL 55 CC SAN BORJA;LIMA;SAN BORJA;Jiron;CARPACCIO ;Yeisll Diaz
TEL 56 AVENTURA PLAZA TRUJILLO ACDR;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE ( C.C.MALL AVEN.PZA.);Sheyda Florindez
TEL 57 BELLAVISTA FOOD COURT;CALLAO;BELLAVISTA;Avenida;OSCAR R. BENAVIDES (  MALL AVENTURA PLAZA );Mariaelena Quiroz
TEL 58 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
TEL 59 REAL PLAZA PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez
