Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS;Lat;Lng
TEL 41 CENTRO C�VICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA ;Yeisll Diaz;-12.059861;-77.006784
TEL 42 OPEN MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Yeisll Diaz;-12.114216;-77.010462
TEL 43 MERCADERES;AREQUIPA;AREQUIPA;Calle;MERCADERES;Sheyda Florindez;-16.399241;-71.534053
TEL 44 OP PIURA;PIURA;PIURA;Avenida;CACERES;Sheyda Florindez;-5.182225;-80.638083
TEL 45 HUACHO;HUAURA;HUACHO;Calle;COLON (C.C. PLAZA DEL SOL HUACHO);Sheyda Florindez;-11.108524;-77.610330
TEL 46 PQ. ARARUCO;AREQUIPA;AREQUIPA;Avenida;LAMBRAMANI;Sheyda Florindez;-16.407787;-71.524256
TEL48 PIURA;PIURA;PIURA;Avenida;ANDRES AVELINO CACERES;Sheyda Florindez;-5.182659;-80.631052
TEL 49 PARQUE AGUSTINO;LIMA;EL AGUSTINO;Jiron;ANCASH;Yeisll Diaz;-12.040406;-76.997686
TEL 50 EL QUINDE;CAJAMARCA;CAJAMARCA;Jiron;SOR MANUELA GIL;Sheyda Florindez;-7.146241;-78.510578
TEL 52 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Avenida;V. R. H. DE LA TORRE - MEGAPLAZA CHIMBOTE;Sheyda Florindez;-9.074497;-78.593609
TEL 53 FOOD COURT AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Yeisll Diaz;-12.045444;-76.942125
TEL 54 ACDR AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Yeisll Diaz;-12.045444;-76.942125
TEL 55 CC SAN BORJA;LIMA;SAN BORJA;Jiron;CARPACCIO ;Yeisll Diaz;-12.091122;-77.005816
TEL 56 AVENTURA PLAZA TRUJILLO ACDR;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE ( C.C.MALL AVEN.PZA.);Sheyda Florindez;-8.111678;-79.028774
TEL 57 BELLAVISTA FOOD COURT;CALLAO;BELLAVISTA;Avenida;OSCAR R. BENAVIDES (  MALL AVENTURA PLAZA );Mariaelena Quiroz;-12.059736;-77.111161
TEL 58 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija;-12.006404;-77.061492
TEL 59 REAL PLAZA PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez;-5.189572;-80.635289
TEL 60 C. C. REAL PZA. HUANUCO;HUANUCO;HUANUCO;Jiron;NDEPENDENCIA;Sheyda Florindez;-9.929325;-76.239485
TEL 61 REAL PLAZA JULIACA;SAN ROMAN;JULIACA;Jiron;TUMBES ;Sheyda Florindez;-15.490046;-70.131363
TEL 62 EL QUINDE ICA;ICA;ICA;Avenida;DE LOS MAESTROS ( C.C MEGA PLAZA );Sheyda Florindez;-14.064097;-75.729091
TEL 63 OPEN PZA. PUCALLPA;CORONEL PORTILLO;CALLERIA;Avenida;CENTENARIO;Sheyda Florindez;-7.896462;-74.184547
TEL 64 C.C. SALAVERRY;LIMA;JESUS MARIA;Avenida;GRAL. FELIPE SALAVERRY;Mariaelena Quiroz;-12.075152;-77.043904
TEL 65 -REAL PLAZA PUCALLPA;CORONEL PORTILLO;CALLERIA;Avenida;CENTENARIO ( C.C. RP PUCALLPA );Sheyda Florindez;-7.896462;-74.184547
TEL 66 C.C. MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Yeisll Diaz;-12.162858;-76.963519
TEL 67 OPEN PLAZA  HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez;-12.067744;-75.205393
TEL 68 REAL PLAZA AREQUIPA ;AREQUIPA;AREQUIPA;Avenida;EJERCITO;Sheyda Florindez;-16.391945;-71.541505
TEL 69 MINKA CALLAO ;CALLAO;CALLAO;Avenida;ARGENTINA - MINKA;Mariaelena Quiroz;-12.051347;-77.132115
TEL 70 TACNA;TACNA;TACNA;Avenida;CERCADO CUZCO;Sheyda Florindez;-18.013860;-70.251103
TEL 71 REAL PLAZA PRO ;LIMA;SAN MARTIN DE PORRES;Avenida;ALFREDO MENDIOLA;Paola Mija;-12.029872;-77.057056
TEL PH72 PLAZA VEA VES;LIMA;VILLA EL SALVADOR;Avenida;PLAZA CENTER VILLA EL SALVADOR ;Yeisll Diaz;-12.213503;-76.937026
TEL 73 VILLA MAR�A DEL TRIUNFO;LIMA;VILLA MARIA DEL TRIUNFO;Avenida;PACHACUTEC ;Yeisll Diaz;-12.218848;-76.920992
TEL 74 PORONGOCHE;AREQUIPA;AREQUIPA;Avenida;PORONGOCHE ;Sheyda Florindez;-16.418005;-71.515900
TEL 76 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Yeisll Diaz;-12.064047;-76.989100
PH077 PSM PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;CENTRO COMERCIAL PLAZA SAN MIGUEL;Mariaelena Quiroz;-12.072751;-77.095353
PH 78 TUMBES;TUMBES;TUMBES;Calle;CALLE SAN MARTIN;Sheyda Florindez;-3.601245;-80.481534
PH079  MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA, CC MALL AVENTURA CHICLAYO;Sheyda Florindez;-6.771615;-79.838718
PH080 MPC MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS �NGELES;Paola Mija;-11.957301;-77.049757
PH 81 CAYMA ;AREQUIPA;AREQUIPA;Avenida;EJERCITO;Sheyda Florindez;-16.391945;-71.541505
PH 83 REAL PLAZA CUSCO;CUSCO;CUSCO;Avenida;COLLASUYO, CENTRO COMERCIAL REAL PLAZA;Sheyda Florindez;-13.517089;-71.978536
PD 033 HEROES;LIMA;SAN JUAN DE MIRAFLORES;Avenida;LOS HEROES;Gabriela Varias;-12.158623;-76.960175
PH 086 TERMINAL TERRESTRE INDEPENDENCIA;LIMA;INDEPENDENCIA;Avenida;GERARDO UNGER;Paola Mija;-11.982797;-77.058935
PH 087 CANTA CALLAO;CALLAO;CALLAO;Avenida;CANTA CALLAO;Mariaelena Quiroz;-11.997562;-77.113785
PHD31 PRO HABICH;LIMA;SAN MARTIN DE PORRES;Avenida;EDUARDO HABICH;Paola Mija;-12.025322;-77.052510
PH84 MALL AVENTURA SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Yeisll Diaz;-12.016950;-76.999191
STARBUCKS 129 LARCO;LIMA;MIRAFLORES;Avenida;JOSE LARCO;Gabriela Varias;-12.131458;-77.029956
STARBUCKS 130 WONG GARDENIAS;LIMA;SANTIAGO DE SURCO;Avenida;ALFREDO BENAVIDES;Gabriela Varias;-12.131380;-76.976728
STARBUCKS 134 MALL AVENTURA SANTA ANITA 2;LIMA;SANTA ANITA;Avenida;NICOLAS AYLLON;Gabriela Varias;-12.045444;-76.942125
STARBUCKS 137 ROYAL PLAZA;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Gabriela Varias;-11.990023;-77.062036
STARBUCKS 131 MALL AVENTURA IQUITOS;MAYNAS;IQUITOS;Avenida;CAPITAN JOSE ABELARDO QUI�ONES;Sheyda Florindez;-3.749365;-73.244415
KFC 197 IL REVOLUCION;LIMA;VILLA EL SALVADOR;Avenida;REVOLUCI�N;Yeisll Diaz;-12.213503;-76.937026
KFC 198 CERES;LIMA;ATE;Avenida;PROLONGACI�N JAVIER PRADO;Yeisll Diaz;-12.038728;-76.896873
KFC 194 PR�CERES DE HUANDOY;LIMA;LOS OLIVOS;Avenida;LOS PROCERES;Paola Mija;-11.953357;-77.076213
BURGER KING 89 KIOSKO SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Ereni Valdivia;-12.016950;-76.999191
CC CONDADO SB002;PICHINCHA;;Avenida;MARISCAL SUCRE Y JOHN F. KENNEDY;Sheyda Florindez;-12.062798;-77.046235
CC SCALA SB001 - PASAJE EL VALLE DE CUMBAY�;CUMBAY�;;Avenida;INTEROCEANICA;Sheyda Florindez;;
RANSA QUITO - CCI;;;Avenida;RIO AMAZONAS;Sheyda Florindez;-4.014730;-77.758797
STARBUCKS CC CCI;;;Sin tipo;NACIONES UNIDAD;Sheyda Florindez;-6.869970;-75.045851
STARBUCKS MALL JARDIN;;;Calle;RIO AMAZONAS;Sheyda Florindez;-11.974244;-76.780882
KFC 201 PASEO CENTRAL ;AREQUIPA;JACOBO HUNTER;Avenida;ARTURO IBANEZ;Sheyda Florindez;-16.459124;-71.568948
KFC202 - CENTRO COMERCIAL METRO DE CHILCA;HUANCAYO;CHILCA;Avenida;9 DE DICIEMBRE;Sheyda Florindez;-12.083256;-75.203265
KFC 208 GAMA PLAZA;LIMA;LA VICTORIA;Jiron ;AGUSTIN GAMARRA ;Yeisll Diaz;-12.068744;-77.012969
KFC 207 METRO FAUCETT;LIMA;SAN MIGUEL;Avenida;VENEZUELA ;Mariaelena Quiroz;-12.063101;-77.101251
KFC199 - CENTRO COMERCIAL METRO DE CHACLACAYO;LIMA;CHACLACAYO;Avenida;NICOLAS AYLLON;Yeisll Diaz;-11.968673;-76.747125
KFC 205 IL AREQUIPA CENTER ;AREQUIPA;CERRO COLORADO;Avenida;AVIACION;Sheyda Florindez;-16.352140;-71.555929
STARBUCKS QUICENTRO;;;Avenida;NACIONES UNIDAS;Sheyda Florindez;-11.958620;-76.994667
CH30 MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS �NGELES;Sara Cordero;-11.957301;-77.049757
STARBUCKS 141 MALL PLAZA TRUJILLO II;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez;-8.103001;-79.045470
STARBUCKS 139 - SALIDAS INTERNACIONALES 3ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETTA;Gabriela Varias;-12.044590;-77.126418
STARBUCKS 138 - SALIDAS NACIONALES 3ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETTA;Gabriela Varias;-12.044590;-77.126418
CH6 - CENTRO COMERCIAL LARCOMAR;LIMA;MIRAFLORES;Avenida;MALEC�N DE LA RESERVA;Sara Cordero;-12.120621;-77.029499
"PH 088 LAP
NUEVO AEROPUERTO JORGE CHAVEZ";CALLAO;CALLAO;Avenida;NESTOR GAMBETA;Mariaelena Quiroz;-12.029201;-77.116472
KFC 203 LLEGADAS NACIONALES LAP - NUEVO AEROPUERTO JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETA;Mariaelena Quiroz;-12.029201;-77.116472
KFC 200 CARABAYLLO;LIMA;CARABAYLLO;Avenida;TUPAC AMARU;Paola Mija;-11.896197;-77.029724
STARBUCKS 136 - LLEGADAS 1ER PISO AEROPUERTO INTERNACIONAL JORGE CHAVEZ;CALLAO;CALLAO;Avenida;NESTOR GAMBETTA;Gabriela Varias;-12.044590;-77.126418
SB 117 REAL PLAZA HU�NUCO;HUANUCO;HUANUCO;Jiron;INDEPENDENCIA ;Sheyda Florindez;-9.927920;-76.246006
KFC 204 CC MOLINA PLAZA ;LIMA ;LA MOLINA;Avenida ;RAUL FERRERO ;Mariaelena Quiroz;-12.090092;-76.949512
KFC 213 TOTTUS SULLANA;SULLANA;SULLANA;Avenida;PANAMERICANA;Sheyda Florindez;-4.890064;-80.687360
KFC 210 PORTAL PIZARRO;TRUJILLO;TRUJILLO;Jiron;PIZARRO;Sheyda Florindez;-8.106879;-79.023531
SB 144 PORTAL PIZARRO;TRUJILLO;TRUJILLO;JIRON ;PIZARRO;Sheyda Florindez;-8.106879;-79.023531
KFC 206 - PUNTA MAR;LIMA;PUNTA HERMOSA;Carretera;ANTIGUA PANAMERICANA SUR;Yeisll Diaz;-12.261650;-76.720957
KFC 209 - MEGA PLAZA ICA II;ICA;ICA;Avenida;LOS MAESTROS;Sheyda Florindez;-14.074476;-75.738386
KFC 219 - MALL DEL SUR 3;LIMA;SAN JUAN DE MIRAFLORES;Avenida;LOS LIRIOS;Yeisll Diaz;-12.150697;-76.981170
KFC 221 - MEGA PLAZA VES 2;LIMA;VILLA EL SALVADOR ;Avenida;PRIMERO DE MAYO ;Yeisll Diaz;-12.198131;-76.965230
KFC 196 - METRO BRE�A;LIMA;BRE�A;Avenida;ALFONSO UGARTE;Mariaelena Quiroz;-12.115467;-76.992090
KFC 212 - IL REAL PLAZA CUSCO ;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez;-13.519302;-71.962136
KFC 222 - PATIO CENCOSUD LA MOLINA;LIMA;LA MOLINA;Avenida;RAUL FERRERO;Mariaelena Quiroz;-12.090092;-76.949512
