Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS;Lat;Lng
PB 9 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Gabriela Varias;-12.006404;-77.061492
PB 11 AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;Gabriela Varias;-12.045444;-76.942125
PB 12 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez;-8.103001;-79.045470
PB 13 CC SAN BORJA;LIMA;SAN BORJA;Avenida;JAVIER PRADO ESTE ;Gabriela Varias;-12.085389;-76.987125
PB 15 PZA. LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Gabriela Varias;-12.006404;-77.061492
PB 16 REAL PZA. PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez;-5.189572;-80.635289
PB 17 CC LARCOMAR;LIMA;MIRAFLORES;Avenida;LARCOMAR, MALEC�N DE LA RESERVA ;Gabriela Varias;-12.120621;-77.029499
PB 18 BREA Y PARI�AS;LIMA;SANTIAGO DE SURCO;Avenida;CAMINOS DEL INCA ;Gabriela Varias;-12.124581;-76.984020
PB 20 REAL PZA. CUSCO;CUSCO;CUSCO;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez;-13.519302;-71.962136
PB 19 SALAVERRY;LIMA;JESUS MARIA;Avenida;GRAL. FELIPE SALAVERRY;Gabriela Varias;-12.075152;-77.043904
PB 23 PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;LA MARINA;Gabriela Varias;-12.072912;-77.103178
PB 24 MALL DEL SUR ;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA;Gabriela Varias;-12.162858;-76.963519
PB25 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLL�N;Gabriela Varias;-12.038728;-76.896873
BK 2 LARCO;LIMA;MIRAFLORES;Avenida;JOSE A. LARCO ;Ereni Valdivia;-12.120621;-77.029499
BK 7 PEZET;LIMA;SAN ISIDRO;Avenida;GRAL. JUAN ANTONIO PEZET;Ereni Valdivia;-12.098921;-77.034644
BK 8 C.C. MOLINA PLAZA;LIMA;LA MOLINA;Avenida;RA�L FERRERO REBAGLIATI;Ereni Valdivia;-12.077983;-76.917284
BK 10 C.C. JOCKEY PLAZA FC;LIMA;SANTIAGO DE SURCO;Avenida;AV JAVIER PARDO ESTE;Ereni Valdivia;-12.125105;-76.982161
BK 12 SAGA FALABELLA FC;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS;Ereni Valdivia;-12.098921;-77.034644
BK 14 C.C. REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Ereni Valdivia;-12.111568;-76.998706
BK 15 C.C. LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA;Ereni Valdivia;-12.120621;-77.029499
BK 17 C.C. MEGA PLAZA INDEP.;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;Ereni Valdivia;-12.006404;-77.061492
BK 18 C.C. PLAZA LIMA SUR;LIMA;CHORRILLOS;Avenida;PRLG. PASEO DE LA REPUBLICA;Ereni Valdivia;-12.170948;-77.021260
BK 22 HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez;-12.067744;-75.205393
BK 24 C.C. CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;Ereni Valdivia;-12.059861;-77.006784
BK 25 SOL DE ICA;ICA;ICA;Avenida;SAN MARTIN;Sheyda Florindez;-13.412609;-76.123167
BK 26 OPEN PLAZA MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Ereni Valdivia;-12.114216;-77.010462
BK 27 KIOSKO ICA;ICA;ICA;Plaza;SAN MARTIN ;Sheyda Florindez;-14.070876;-75.727941
BK 28 KIOSKO MARSANO;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO;Ereni Valdivia;-12.114216;-77.010462
BK 31 MERCADERES;AREQUIPA;AREQUIPA;Avenida;CALLE MERCADERES;Sheyda Florindez;-16.398867;-71.536961
BK 32 PIURA;PIURA;CASTILLA;Avenida;CACERES;Sheyda Florindez;-5.183210;-80.618132
BK 33 KIOSKO PIURA;PIURA;CASTILLA;Avenida;AVELINO CACERES;Sheyda Florindez;-5.183210;-80.618132
BK 35 KIOSKO CC CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;Ereni Valdivia;-12.059861;-77.006784
BK 38 KIOSKO HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez;-12.067744;-75.205393
BK 39 CAMACHO GRIFO REPSOL;LIMA;LA MOLINA;Avenida;LOS FRUTALES;Ereni Valdivia;-12.060460;-76.966430
BK 40 ROYAL PLAZA;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Ereni Valdivia;-11.990023;-77.062036
BK 41 KIOSKO REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Ereni Valdivia;-12.111568;-76.998706
BK 42 KIOSKO MERCADERES;AREQUIPA;AREQUIPA;Calle;MERCADERES;Sheyda Florindez;-16.399241;-71.534053
BK 44 KIOSKO MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Ereni Valdivia;-12.006404;-77.061492
BK 45 KIOSKO TOTTUS JOCKEY PLAZA;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Ereni Valdivia;-12.084708;-76.980210
BK 48 LA MERCED;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;Ereni Valdivia;-12.127281;-77.011195
BK 49 CAVENECIA;LIMA;MIRAFLORES;Avenida;EMILIO CAVENECIA;Ereni Valdivia;-12.120621;-77.029499
BK 51 AVENTURA PLAZA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL ;Ereni Valdivia;-12.045444;-76.942125
BK52 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Alameda;V�CTOR RA�L HAYA DE LA TORRE;Sheyda Florindez;-9.074497;-78.593609
BK 54 CC SAN BORJA FOOD COURT;LIMA;SAN BORJA;Avenida;CARPACCIO;Ereni Valdivia;-12.096452;-76.995690
BK 56 KIOSKO MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;Avenida;V.R.H. DE LA TORRE;Sheyda Florindez;-9.074497;-78.593609
BK 55 KIOSKO CC LA RAMBLA;LIMA;SAN BORJA;Avenida;CARPACCIO ;Ereni Valdivia;-12.096452;-76.995690
BK 57 REPSOL PRECURSORES;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA;Ereni Valdivia;-12.104041;-76.963897
BK 58 PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Ereni Valdivia;-12.006404;-77.061492
BK 59 CHACARILLA - BREA Y PARI�AS;LIMA;SANTIAGO DE SURCO;Avenida;CAMINOS DEL INCA ;Ereni Valdivia;-12.124581;-76.984020
BK 60 REAL PZA. CUSCO;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez;-13.519302;-71.962136
BK 61 KIOSCO PZA. LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Ereni Valdivia;-12.006404;-77.061492
BK 62 KIOSCO REAL PZA. PIURA;PIURA;PIURA;Avenida;SANCHEZ CERRO;Sheyda Florindez;-5.189572;-80.635289
BK 63 KIOSKO C.C. REAL PLAZA CUSCO;CUSCO;CUSCO;Avenida;COLLASUYO;Sheyda Florindez;-13.519302;-71.962136
BK 64 C.C. SALAVERRY;LIMA;JESUS MARIA;Avenida;GRAL. FELIPE SALAVERRY;Ereni Valdivia;-12.075152;-77.043904
BK 65 KIOSKO PLAZA LIMA SUR;LIMA;CHORRILLOS;Avenida;PROL.PASEO D LA REPUBLICA;Ereni Valdivia;-12.170948;-77.021260
BK 66 C.C. LA RAMBLA BRE�A;LIMA;BRE�A;Avenida;BRASIL;Ereni Valdivia;-12.115467;-76.992090
BK 67 KIOSKO RAMBLA BRASIL;LIMA;BRE�A;Avenida;BRASIL;Ereni Valdivia;-12.115467;-76.992090
BK 70 MALL DEL SUR ;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;Ereni Valdivia;-12.162858;-76.963519
BK 71 KIOSKO MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;Ereni Valdivia;-12.162858;-76.963519
BK 72 GARDENIAS;LIMA;SANTIAGO DE SURCO;Avenida;ALFREDO BENAVIDES;Ereni Valdivia;-12.131380;-76.976728
BK 73 TRUJILLO;TRUJILLO;TRUJILLO;Avenida;F�TIMA;Sheyda Florindez;-8.111678;-79.028774
BK 75 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Ereni Valdivia;-12.064047;-76.989100
BK76 KIOSKO PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Ereni Valdivia;-12.064047;-76.989100
BK78 VMT;LIMA;VILLA MARIA DEL TRIUNFO;Avenida;PACHACUTEC;Ereni Valdivia;-12.218848;-76.920992
BK81 PSM - PLAZA SAN MIGUEL;LIMA;SAN MIGUEL;Avenida;CENTRO COMERCIAL PLAZA SAN MIGUEL, LA MARINA CON UNIVERSITARIA;Ereni Valdivia;-12.072751;-77.095353
BK 82 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;Ereni Valdivia;-12.064047;-76.989100
BK84 MPC - MALL PLAZA COMAS;LIMA;COMAS;Avenida;LOS �NGELES;Ereni Valdivia;-11.957301;-77.049757
BK 85 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA ;Sheyda Florindez;-6.780480;-79.834294
BK 86 KIOSKO MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA;Sheyda Florindez;-6.780480;-79.834294
BK79 KIOSKO VMT;LIMA;VILLA MARIA DEL TRIUNFO;Avenida;PACHACUTEC;Ereni Valdivia;-12.218848;-76.920992
BK90 MALL AVENTURA SJL FC;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;Ereni Valdivia;-12.016950;-76.999191
TP_02 - C.C. MEGA PLAZA CA�ETE;CA�ETE;SAN VICENTE DE CA�ETE;Avenida;MRCAL OSCAR BENAVIDES;Sheyda Florindez;;
TP_03 - C.C. MEGA PLAZA CHINCHA;CHINCHA;CHINCHA ALTA;Sin tipo;MARISCAL BENAVIDES ;Sheyda Florindez;-13.417488;-76.132573
TP_04 MEGAPLAZA VILLA CHORRILLOS;LIMA;CHORRILLOS;Alameda;SUR ESQ AV SAN MARCOS;Katherine Gutierrez;-12.170948;-77.021260
TP_05 - C.C. LA RAMBLA BRASIL;LIMA;BRE�A;Avenida;BRASIL;Mariaelena Quiroz;-12.115467;-76.992090
TP_06 - PLAZAVEA VENTANILLA ;CALLAO;VENTANILLA;Avenida;AV. NESTOR GAMBETA;Mariaelena Quiroz;-11.884644;-77.123080
TP_08 RP CAJAMARCA;CAJAMARCA;CAJAMARCA;Avenida;EVITAMIENTO NORTE;Sheyda Florindez;-7.162865;-78.503908
TP_12 TOTTUS CAMPOY;LIMA;SAN JUAN DE LURIGANCHO;Sin tipo;MALECON CHECA ;Yeisll Diaz;-12.001725;-77.008411
TP_14 PUENTE PIEDRA;LIMA;PUENTE PIEDRA;Avenida;SAENZ PE�A;Paola Mija;-11.866798;-77.077838
TP_17 PLAZA VEA LURIN;LIMA;LURIN;Avenida;ANTIGUA PANAMERICANA SUR;Yeisll Diaz;-12.273369;-76.868890
TP 20 METRO FAUCETT;LIMA;SAN MIGUEL;Avenida;REPUBLICA DE VENEZUELA;Mariaelena Quiroz;-12.060606;-77.080608
TP_21 REAL PLAZA CHORRILLOS;LIMA;CHORRILLOS;Avenida;GUARDIA CIVIL;Katherine Gutierrez;-12.184236;-77.003786
TP_15 RP SANTA CLARA;LIMA;ATE;Avenida;NICOL�S AYLL�N ;Yeisll Diaz;-12.038728;-76.896873
TELD1 PEDRO VENTURO;LIMA;SANTIAGO DE SURCO;Avenida;PEDRO VENTURO;Yeisll Diaz;-12.120388;-76.995982
TELD2 CRUCETAS;LIMA;SANTIAGO DE SURCO;Avenida;GUARDIA CIVIL NORTE;Yeisll Diaz;-12.125105;-76.982161
TELD3 CONTISUYO;LIMA;SAN MIGUEL;Avenida;ELMER FAUCETT;Mariaelena Quiroz;-12.067356;-77.097312
TELD 4 PRIMAVERA;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA;Yeisll Diaz;-12.104041;-76.963897
TELD 6 AVIACI�N ;LIMA;SAN BORJA;Avenida;AVIACION;Yeisll Diaz;-12.109780;-77.000336
TELD 8 FAUCETT;CALLAO;CALLAO;Avenida;ELMER FAUCETT;Mariaelena Quiroz;-12.062341;-77.097104
TELD 10 JUAN DE ALIAGA;LIMA;MAGDALENA DEL MAR;Avenida;MIROQUESADA;Mariaelena Quiroz;-12.093509;-77.059246
TELD 11 AV. UNIVERSITARIA;LIMA;SAN MIGUEL;Avenida;UNIVERSITARIA;Mariaelena Quiroz;-12.061413;-77.079034
TELD 12 ARAMBURU;LIMA;SURQUILLO;Avenida;ARAMBURU ANDRES;Yeisll Diaz;-12.102752;-77.025901
